"region","år","fastighetstyp",Köpeskilling för småhus, medelvärde i tkr
"0481 Oxelösund","2017","permanentbostad (ej tomträtt)",2196
"0482 Flen","2012","permanentbostad (ej tomträtt)",997
"0482 Flen","2013","permanentbostad (ej tomträtt)",1081
"0482 Flen","2014","permanentbostad (ej tomträtt)",1182
"0482 Flen","2015","permanentbostad (ej tomträtt)",1248
"0482 Flen","2016","permanentbostad (ej tomträtt)",1539
"0482 Flen","2017","permanentbostad (ej tomträtt)",1575
"0483 Katrineholm","2012","permanentbostad (ej tomträtt)",1307
"0483 Katrineholm","2013","permanentbostad (ej tomträtt)",1455
"0483 Katrineholm","2014","permanentbostad (ej tomträtt)",1491
"0483 Katrineholm","2015","permanentbostad (ej tomträtt)",1604
"0483 Katrineholm","2016","permanentbostad (ej tomträtt)",1767
"0483 Katrineholm","2017","permanentbostad (ej tomträtt)",1960
"0484 Eskilstuna","2012","permanentbostad (ej tomträtt)",1797
"0484 Eskilstuna","2013","permanentbostad (ej tomträtt)",1859
"0484 Eskilstuna","2014","permanentbostad (ej tomträtt)",2046
"0484 Eskilstuna","2015","permanentbostad (ej tomträtt)",2451
"0484 Eskilstuna","2016","permanentbostad (ej tomträtt)",2539
"0484 Eskilstuna","2017","permanentbostad (ej tomträtt)",2760
"0486 Strängnäs","2012","permanentbostad (ej tomträtt)",2201
"0486 Strängnäs","2013","permanentbostad (ej tomträtt)",2280
"0486 Strängnäs","2014","permanentbostad (ej tomträtt)",2409
"0486 Strängnäs","2015","permanentbostad (ej tomträtt)",2581
"0486 Strängnäs","2016","permanentbostad (ej tomträtt)",2750
"0486 Strängnäs","2017","permanentbostad (ej tomträtt)",2944
"0488 Trosa","2012","permanentbostad (ej tomträtt)",2262
"0488 Trosa","2013","permanentbostad (ej tomträtt)",2523
"0488 Trosa","2014","permanentbostad (ej tomträtt)",2358
"0488 Trosa","2015","permanentbostad (ej tomträtt)",2934
"0488 Trosa","2016","permanentbostad (ej tomträtt)",3095
"0488 Trosa","2017","permanentbostad (ej tomträtt)",3489
"0509 Ödeshög","2012","permanentbostad (ej tomträtt)",692
"0509 Ödeshög","2013","permanentbostad (ej tomträtt)",630
"0509 Ödeshög","2014","permanentbostad (ej tomträtt)",837
"0509 Ödeshög","2015","permanentbostad (ej tomträtt)",985
"0509 Ödeshög","2016","permanentbostad (ej tomträtt)",940
"0509 Ödeshög","2017","permanentbostad (ej tomträtt)",1060
"0512 Ydre","2012","permanentbostad (ej tomträtt)",735
"0512 Ydre","2013","permanentbostad (ej tomträtt)",670
"0512 Ydre","2014","permanentbostad (ej tomträtt)",879
"0512 Ydre","2015","permanentbostad (ej tomträtt)",998
"0512 Ydre","2016","permanentbostad (ej tomträtt)",675
"0512 Ydre","2017","permanentbostad (ej tomträtt)",907
"0513 Kinda","2012","permanentbostad (ej tomträtt)",1073
"0513 Kinda","2013","permanentbostad (ej tomträtt)",1073
"0513 Kinda","2014","permanentbostad (ej tomträtt)",1144
"0513 Kinda","2015","permanentbostad (ej tomträtt)",1393
"0513 Kinda","2016","permanentbostad (ej tomträtt)",1574
"0513 Kinda","2017","permanentbostad (ej tomträtt)",1693
"0560 Boxholm","2012","permanentbostad (ej tomträtt)",958
"0560 Boxholm","2013","permanentbostad (ej tomträtt)",1044
"0560 Boxholm","2014","permanentbostad (ej tomträtt)",903
"0560 Boxholm","2015","permanentbostad (ej tomträtt)",1016
"0560 Boxholm","2016","permanentbostad (ej tomträtt)",1275
"0560 Boxholm","2017","permanentbostad (ej tomträtt)",1361
"0561 Åtvidaberg","2012","permanentbostad (ej tomträtt)",1055
"0561 Åtvidaberg","2013","permanentbostad (ej tomträtt)",1114
"0561 Åtvidaberg","2014","permanentbostad (ej tomträtt)",1357
"0561 Åtvidaberg","2015","permanentbostad (ej tomträtt)",1245
"0561 Åtvidaberg","2016","permanentbostad (ej tomträtt)",1521
"0561 Åtvidaberg","2017","permanentbostad (ej tomträtt)",1762
"0562 Finspång","2012","permanentbostad (ej tomträtt)",960
"0562 Finspång","2013","permanentbostad (ej tomträtt)",1070
"0562 Finspång","2014","permanentbostad (ej tomträtt)",1233
"0562 Finspång","2015","permanentbostad (ej tomträtt)",1234
"0562 Finspång","2016","permanentbostad (ej tomträtt)",1398
"0562 Finspång","2017","permanentbostad (ej tomträtt)",1610
"0563 Valdemarsvik","2012","permanentbostad (ej tomträtt)",1066
"0563 Valdemarsvik","2013","permanentbostad (ej tomträtt)",1063
"0563 Valdemarsvik","2014","permanentbostad (ej tomträtt)",1013
"0563 Valdemarsvik","2015","permanentbostad (ej tomträtt)",1071
"0563 Valdemarsvik","2016","permanentbostad (ej tomträtt)",999
"0563 Valdemarsvik","2017","permanentbostad (ej tomträtt)",1295
"0580 Linköping","2012","permanentbostad (ej tomträtt)",2528
"0580 Linköping","2013","permanentbostad (ej tomträtt)",2571
"0580 Linköping","2014","permanentbostad (ej tomträtt)",2786
"0580 Linköping","2015","permanentbostad (ej tomträtt)",3072
"0580 Linköping","2016","permanentbostad (ej tomträtt)",3284
"0580 Linköping","2017","permanentbostad (ej tomträtt)",3704
"0581 Norrköping","2012","permanentbostad (ej tomträtt)",2112
"0581 Norrköping","2013","permanentbostad (ej tomträtt)",2225
"0581 Norrköping","2014","permanentbostad (ej tomträtt)",2300
"0581 Norrköping","2015","permanentbostad (ej tomträtt)",2601
"0581 Norrköping","2016","permanentbostad (ej tomträtt)",2899
"0581 Norrköping","2017","permanentbostad (ej tomträtt)",3050
"0582 Söderköping","2012","permanentbostad (ej tomträtt)",1807
"0582 Söderköping","2013","permanentbostad (ej tomträtt)",1962
"0582 Söderköping","2014","permanentbostad (ej tomträtt)",2027
"0582 Söderköping","2015","permanentbostad (ej tomträtt)",2180
"0582 Söderköping","2016","permanentbostad (ej tomträtt)",2362
"0582 Söderköping","2017","permanentbostad (ej tomträtt)",2583
"0583 Motala","2012","permanentbostad (ej tomträtt)",1339
"0583 Motala","2013","permanentbostad (ej tomträtt)",1382
"0583 Motala","2014","permanentbostad (ej tomträtt)",1434
"0583 Motala","2015","permanentbostad (ej tomträtt)",1696
"0583 Motala","2016","permanentbostad (ej tomträtt)",1864
"0583 Motala","2017","permanentbostad (ej tomträtt)",2090
"0584 Vadstena","2012","permanentbostad (ej tomträtt)",1627
"0584 Vadstena","2013","permanentbostad (ej tomträtt)",1362
"0584 Vadstena","2014","permanentbostad (ej tomträtt)",1657
